0	2003236
的	52590
一	19197
中	16241
人	15319
在	14993
是	13410
了	13216
有	12933
年	12515
不	11757
国	11710
大	11160
为	10365
和	10314
会	9468
发	9450
生	9420
市	9213
上	8993
作	8834
行	8784
日	8504
新	8450
工	8316
家	8169
要	8167
全	7913
时	7690
报	7689
到	7635
动	7603
对	7575
出	7505
业	7338
个	7218
实	7182
地	7140
者	6783
明	6665
成	6587
来	6576
以	6539
公	6361
方	6333
这	6238
网	6079
开	6031
学	6003
区	5935
进	5899
现	5866
部	5729
民	5724
月	5704
多	5682
理	5681
记	5612
我	5572
能	5406
经	5356
法	5334
机	5235
关	5211
建	5120
化	5027
后	4968
政	4963
高	4935
自	4931
本	4884
员	4873
用	4870
心	4867
过	4864
分	4797
主	4795
于	4789
面	4786
子	4730
展	4723
力	4692
小	4647
下	4618
前	4591
务	4565
等	4531
通	4524
体	4443
任	4430
就	4398
光	4293
定	4255
道	4208
重	4201
他	4123
也	4109
产	4092
可	4073
责	4065
长	4053
安	4050
合	4046
车	4036
加	4010
社	3974
提	3915
将	3866
与	3863
同	3858
度	3847
场	3835
制	3832
委	3811
事	3796
党	3772
文	3752
好	3734
天	3673
内	3662
们	3607
设	3593
品	3551
名	3539
平	3530
点	3529
保	3521
元	3492
管	3482
说	3463
电	3415
其	3378
三	3369
治	3322
目	3303
得	3300
位	3275
从	3228
入	3227
路	3224
次	3144
之	3112
水	3082
强	3079
性	3072
当	3060
据	3058
间	3040
所	3020
而	3006
最	2963
还	2945
交	2926
期	2922
都	2905
近	2876
着	2875
规	2843
相	2814
资	2813
题	2796
组	2792
局	2789
表	2784
育	2773
起	2765
并	2755
特	2745
两	2743
里	2739
外	2734
城	2720
查	2713
教	2706
活	2705
改	2699
村	2691
被	2664
意	2660
量	2646
利	2637
门	2619
信	2602
各	2592
及	2592
系	2586
服	2582
此	2576
美	2559
更	2551
情	2540
如	2539
正	2520
院	2507
基	2492
处	2468
去	2450
标	2449
创	2448
调	2447
应	2440
共	2428
项	2418
示	2405
讯	2395
价	2360
常	2359
第	2345
看	2345
读	2344
手	2337
导	2337
问	2335
央	2327
计	2326
解	2318
编	2311
物	2306
女	2305
求	2304
推	2297
持	2289
金	2285
办	2267
司	2258
收	2255
书	2243
纪	2235
已	2210
议	2200
北	2188
代	2187
派	2184
程	2169
立	2160
施	2154
因	2143
种	2137
比	2126
但	2123
万	2117
级	2104
企	2104
老	2079
案	2077
向	2077
省	2074
该	2060
单	2052
式	2043
专	2029
科	2028
然	2025
件	2014
数	2012
商	2011
县	2008
十	2007
辑	2006
传	2000
增	1999
些	1999
受	1998
整	1981
总	1978
检	1977
认	1967
完	1958
没	1957
警	1951
结	1951
海	1948
口	1944
决	1943
领	1938
队	1938
二	1936
术	1927
至	1926
众	1926
证	1920
接	1915
造	1906
放	1903
农	1900
准	1899
很	1894
身	1887
果	1887
闻	1862
统	1857
台	1848
构	1844
格	1838
做	1836
气	1833
联	1830
打	1826
无	1825
原	1823
确	1806
考	1794
监	1791
滚	1789
严	1781
东	1773
费	1771
权	1759
山	1744
